Gene,Statistic,Percentage,Cell Types
TMEM132C,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
TMEM132D,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
TMEM132E,0 out of 24,0.00%,
TMEM134,1 out of 24,4.17%,Astrocytes microglia 23
TMEM135,3 out of 24,12.50%,Astrocytes microglia 23; Astrocytes 5; Astrocytes 15
TMEM136,0 out of 24,0.00%,
TMEM138,1 out of 24,4.17%,Astrocytes microglia 23
TMEM140,0 out of 24,0.00%,
TMEM143,0 out of 24,0.00%,
TMEM144,7 out of 24,29.17%,Astrocytes 8; GLU like neurons 17; Oligodendrocytes 10; DA like neurons 11; Astrocytes 15; Microglia 19; Endothelial cells 9
TMEM145,0 out of 24,0.00%,
TMEM147,0 out of 24,0.00%,
TMEM14A,0 out of 24,0.00%,
TMEM14C,0 out of 24,0.00%,
TMEM150C,0 out of 24,0.00%,
TMEM151A,1 out of 24,4.17%,Oligodendrocytes 20
TMEM154,0 out of 24,0.00%,
TMEM156,0 out of 24,0.00%,
TMEM160,3 out of 24,12.50%,GABA neurons expressing GLU receptors 22; DA like neurons 11; GABA like neurons 14
TMEM161A,1 out of 24,4.17%,Astrocytes microglia 23
TMEM161B,1 out of 24,4.17%,Oligodendrocytes 20
TMEM161B-AS1,1 out of 24,4.17%,Oligodendrocytes 3
TMEM163,3 out of 24,12.50%,Microglia 1; Oligodendrocyte progenitor cells 12; Microglia 19
TMEM164,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TMEM165,7 out of 24,29.17%,Oligodendrocyte progenitor cells 12; Astrocytes 8; GLU like neurons 17; GABA neurons expressing GLU receptors 22; DA like neurons 11; T cells 18; GABA neurons expressing GABA receptors 13
TMEM167A,0 out of 24,0.00%,
TMEM167B,0 out of 24,0.00%,
TMEM168,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TMEM169,0 out of 24,0.00%,
TMEM170B,0 out of 24,0.00%,
TMEM173,1 out of 24,4.17%,Astrocytes microglia 23
TMEM175,0 out of 24,0.00%,
TMEM176B,0 out of 24,0.00%,
TMEM178A,0 out of 24,0.00%,
TMEM178B,0 out of 24,0.00%,
TMEM179,0 out of 24,0.00%,
TMEM179B,0 out of 24,0.00%,
TMEM181,0 out of 24,0.00%,
TMEM182,0 out of 24,0.00%,
TMEM184B,0 out of 24,0.00%,
TMEM184C,1 out of 24,4.17%,Astrocytes 4
TMEM185A,0 out of 24,0.00%,
TMEM192,0 out of 24,0.00%,
TMEM196,0 out of 24,0.00%,
TMEM200A,0 out of 24,0.00%,
TMEM200C,0 out of 24,0.00%,
TMEM201,0 out of 24,0.00%,
TMEM202-AS1,0 out of 24,0.00%,
TMEM203,0 out of 24,0.00%,
TMEM204,0 out of 24,0.00%,
TMEM206,0 out of 24,0.00%,
TMEM208,0 out of 24,0.00%,
TMEM209,0 out of 24,0.00%,
TMEM214,0 out of 24,0.00%,
TMEM215,0 out of 24,0.00%,
TMEM219,0 out of 24,0.00%,
TMEM220,0 out of 24,0.00%,
TMEM220-AS1,0 out of 24,0.00%,
TMEM222,0 out of 24,0.00%,
TMEM223,0 out of 24,0.00%,
TMEM229B,0 out of 24,0.00%,
TMEM230,0 out of 24,0.00%,
TMEM232,3 out of 24,12.50%,Astrocytes 8; Astrocytes 5; GABA neurons expressing GLU receptors 22
TMEM235,0 out of 24,0.00%,
TMEM237,0 out of 24,0.00%,
TMEM241,0 out of 24,0.00%,
TMEM242,1 out of 24,4.17%,T cells 18
TMEM243,0 out of 24,0.00%,
TMEM245,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
TMEM246,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TMEM248,0 out of 24,0.00%,
TMEM25,0 out of 24,0.00%,
TMEM254,0 out of 24,0.00%,
TMEM255A,0 out of 24,0.00%,
TMEM255B,0 out of 24,0.00%,
TMEM258,0 out of 24,0.00%,
TMEM259,0 out of 24,0.00%,
TMEM260,0 out of 24,0.00%,
TMEM263,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Connective tissue cells 21
TMEM266,0 out of 24,0.00%,
TMEM267,0 out of 24,0.00%,
TMEM268,0 out of 24,0.00%,
TMEM273,2 out of 24,8.33%,Oligodendrocytes 16; Microglia 19
TMEM30A,0 out of 24,0.00%,
TMEM33,1 out of 24,4.17%,Connective tissue cells 21
TMEM35A,1 out of 24,4.17%,DA like neurons 11
TMEM38A,4 out of 24,16.67%,Astrocytes 8; Astrocytes microglia 23; GLU like neurons 17; Astrocytes 15
TMEM38B,0 out of 24,0.00%,
TMEM39A,0 out of 24,0.00%,
TMEM39B,0 out of 24,0.00%,
TMEM40,0 out of 24,0.00%,
TMEM41A,0 out of 24,0.00%,
TMEM41B,0 out of 24,0.00%,
TMEM44,0 out of 24,0.00%,
TMEM44-AS1,1 out of 24,4.17%,Astrocytes microglia 23
TMEM45A,0 out of 24,0.00%,
TMEM47,0 out of 24,0.00%,
TMEM50A,0 out of 24,0.00%,
TMEM50B,2 out of 24,8.33%,Microglia 1; Microglia 19
TMEM51,0 out of 24,0.00%,
TMEM59,0 out of 24,0.00%,
TMEM59L,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; GABA like neurons 14
TMEM62,1 out of 24,4.17%,Oligodendrocytes 16
TMEM63A,1 out of 24,4.17%,Oligodendrocytes 10
TMEM63B,0 out of 24,0.00%,
TMEM63C,0 out of 24,0.00%,
TMEM64,0 out of 24,0.00%,
TMEM65,2 out of 24,8.33%,Oligodendrocytes 10; Microglia 1
TMEM67,0 out of 24,0.00%,
TMEM68,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TMEM69,1 out of 24,4.17%,Astrocytes microglia 23
TMEM70,0 out of 24,0.00%,
TMEM71,0 out of 24,0.00%,
TMEM72,0 out of 24,0.00%,
TMEM72-AS1,1 out of 24,4.17%,Astrocytes 5
TMEM74B,0 out of 24,0.00%,
TMEM87A,0 out of 24,0.00%,
TMEM87B,1 out of 24,4.17%,Oligodendrocytes 20
TMEM88,0 out of 24,0.00%,
TMEM8A,0 out of 24,0.00%,
TMEM8B,1 out of 24,4.17%,Astrocytes microglia 23
TMEM9,0 out of 24,0.00%,
TMEM94,0 out of 24,0.00%,
TMEM98,1 out of 24,4.17%,Oligodendrocytes 10
TMEM9B,0 out of 24,0.00%,
TMEM9B-AS1,1 out of 24,4.17%,Astrocytes microglia 23
TMF1,0 out of 24,0.00%,
TMIGD3,0 out of 24,0.00%,
TMLHE,1 out of 24,4.17%,Astrocytes 15
TMLHE-AS1,0 out of 24,0.00%,
TMOD1,1 out of 24,4.17%,Endothelial cells 9
TMOD2,2 out of 24,8.33%,GABA neurons expressing GABA receptors 13; DA neurons 6
TMOD3,1 out of 24,4.17%,Oligodendrocytes 16
TMPO,0 out of 24,0.00%,
TMPRSS5,1 out of 24,4.17%,Oligodendrocytes 3
TMSB10,11 out of 24,45.83%,Astrocytes 8; Connective tissue cells 21; DA like neurons 11; Astrocytes 4; Oligodendrocytes 3; GABA like neurons 14; T cells 18; Endothelial cells 9; GABA neurons expressing GABA receptors 13; DA neurons 6; Microglia 1
TMSB15B.1,0 out of 24,0.00%,
TMSB4X,11 out of 24,45.83%,Astrocytes microglia 23; Oligodendrocytes 0; Astrocytes 8; DA like neurons 11; Oligodendrocytes 3; Oligodendrocytes 2; GABA like neurons 14; T cells 18; Microglia 19; Endothelial cells 9; Microglia 1
TMTC1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TMTC2,8 out of 24,33.33%,Oligodendrocyte progenitor cells 12; Astrocytes 8; GLU like neurons 17; Oligodendrocytes 10; Connective tissue cells 21; DA like neurons 11; T cells 18; Microglia 19
TMTC3,0 out of 24,0.00%,
TMTC4,0 out of 24,0.00%,
TMUB2,0 out of 24,0.00%,
TMX1,0 out of 24,0.00%,
TMX3,1 out of 24,4.17%,Astrocytes 15
TMX4,3 out of 24,12.50%,GLU like neurons 17; Oligodendrocytes 10; Oligodendrocyte progenitor cells 12
TNC,3 out of 24,12.50%,Astrocytes microglia 23; Astrocytes 4; Astrocytes 5
TNFAIP1,0 out of 24,0.00%,
TNFAIP2,2 out of 24,8.33%,Microglia 1; Microglia 19
TNFAIP3,2 out of 24,8.33%,Microglia 1; T cells 18
TNFAIP8,0 out of 24,0.00%,
TNFRSF10A,1 out of 24,4.17%,Endothelial cells 9
TNFRSF10B,1 out of 24,4.17%,Endothelial cells 9
TNFRSF10D,1 out of 24,4.17%,Endothelial cells 9
TNFRSF14,0 out of 24,0.00%,
TNFRSF19,0 out of 24,0.00%,
TNFRSF1A,0 out of 24,0.00%,
TNFRSF1B,2 out of 24,8.33%,Microglia 1; T cells 18
TNFRSF21,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
TNFSF10,1 out of 24,4.17%,Endothelial cells 9
TNFSF13B,0 out of 24,0.00%,
TNFSF14,0 out of 24,0.00%,
TNFSF8,0 out of 24,0.00%,
TNIK,2 out of 24,8.33%,GLU like neurons 17; Oligodendrocytes 0
TNIP1,0 out of 24,0.00%,
TNIP2,0 out of 24,0.00%,
TNIP3,0 out of 24,0.00%,
TNK2,1 out of 24,4.17%,GABA like neurons 14
TNKS,0 out of 24,0.00%,
TNKS1BP1,1 out of 24,4.17%,Connective tissue cells 21
TNKS2,0 out of 24,0.00%,
TNPO1,1 out of 24,4.17%,Microglia 1
TNPO2,0 out of 24,0.00%,
TNPO3,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TNR,1 out of 24,4.17%,Oligodendrocyte progenitor cells 7
TNRC18,2 out of 24,8.33%,Oligodendrocytes 10; GABA like neurons 14
TNRC6A,2 out of 24,8.33%,GABA neurons expressing GABA receptors 13; GABA like neurons 14
TNRC6B,3 out of 24,12.50%,Endothelial cells 9; Microglia 1; Astrocytes 15
TNRC6C,3 out of 24,12.50%,DA like neurons 11; Oligodendrocytes 10; T cells 18
TNS1,0 out of 24,0.00%,
TNS2,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
TNS3,3 out of 24,12.50%,Astrocytes 8; Oligodendrocyte progenitor cells 12; GABA neurons expressing GLU receptors 22
TNXB,1 out of 24,4.17%,GABA like neurons 14
TOB1,1 out of 24,4.17%,Astrocytes 15
TOB2,2 out of 24,8.33%,Oligodendrocytes 3; Connective tissue cells 21
TOGARAM1,0 out of 24,0.00%,
TOGARAM2,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
TOLLIP,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TOM1,0 out of 24,0.00%,
TOM1L1,0 out of 24,0.00%,
TOM1L2,1 out of 24,4.17%,DA neurons 6
TOMM20,4 out of 24,16.67%,GABA neurons expressing GLU receptors 22; GABA neurons expressing GABA receptors 13; Connective tissue cells 21; GABA like neurons 14
TOMM22,0 out of 24,0.00%,
TOMM40,0 out of 24,0.00%,
TOMM7,8 out of 24,33.33%,Oligodendrocyte progenitor cells 12; GABA neurons expressing GLU receptors 22; Oligodendrocytes 16; GABA like neurons 14; Microglia 19; Endothelial cells 9; GABA neurons expressing GABA receptors 13; DA neurons 6
TOMM70,1 out of 24,4.17%,Connective tissue cells 21
TOP1,0 out of 24,0.00%,
TOP1MT,0 out of 24,0.00%,
TOP2B,0 out of 24,0.00%,
TOP3A,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TOP3B,0 out of 24,0.00%,
TOPBP1,0 out of 24,0.00%,
TOPORS,1 out of 24,4.17%,Astrocytes microglia 23
TOR1AIP1,0 out of 24,0.00%,
TOR1AIP2,0 out of 24,0.00%,
TOR1B,0 out of 24,0.00%,
TOR3A,1 out of 24,4.17%,Astrocytes microglia 23
TOX,0 out of 24,0.00%,
TOX2,0 out of 24,0.00%,
TOX3,1 out of 24,4.17%,Oligodendrocytes 16
TOX4,0 out of 24,0.00%,
TP53,0 out of 24,0.00%,
TP53BP1,0 out of 24,0.00%,
TP53BP2,0 out of 24,0.00%,
TP53I11,0 out of 24,0.00%,
TP53INP1,0 out of 24,0.00%,
TP53INP2,0 out of 24,0.00%,
TP53TG5,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 0
TP63,0 out of 24,0.00%,
TPBG,0 out of 24,0.00%,
TPCN1,3 out of 24,12.50%,Astrocytes 5; Astrocytes 15; Microglia 19
TPCN2,0 out of 24,0.00%,
TPD52,0 out of 24,0.00%,
TPD52L1,3 out of 24,12.50%,Astrocytes 8; Astrocytes 4; Astrocytes microglia 23
TPD52L2,0 out of 24,0.00%,
TPGS1,0 out of 24,0.00%,
TPGS2,0 out of 24,0.00%,
TPI1,5 out of 24,20.83%,GABA neurons expressing GLU receptors 22; DA like neurons 11; Oligodendrocytes 3; GABA like neurons 14; Endothelial cells 9
TPK1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TPM1,0 out of 24,0.00%,
TPM2,0 out of 24,0.00%,
TPM3,1 out of 24,4.17%,Astrocytes microglia 23
TPM4,6 out of 24,25.00%,Astrocytes microglia 23; Astrocytes 8; Astrocytes 5; Oligodendrocyte progenitor cells 7; Astrocytes 4; Astrocytes 15
TPMT,0 out of 24,0.00%,
TPP1,1 out of 24,4.17%,Connective tissue cells 21
TPP2,2 out of 24,8.33%,Oligodendrocytes 10; GABA like neurons 14
TPPP,2 out of 24,8.33%,GABA neurons expressing GABA receptors 13; Oligodendrocyte progenitor cells 12
TPPP3,0 out of 24,0.00%,
TPR,0 out of 24,0.00%,
TPRA1,0 out of 24,0.00%,
TPRG1,1 out of 24,4.17%,Microglia 19
TPRG1L,1 out of 24,4.17%,Astrocytes microglia 23
TPRN,0 out of 24,0.00%,
TPST1,6 out of 24,25.00%,Oligodendrocyte progenitor cells 12; Astrocytes 5; Oligodendrocyte progenitor cells 7; DA like neurons 11; Astrocytes 4; Astrocytes 15
TPST2,0 out of 24,0.00%,
TPT1,3 out of 24,12.50%,DA like neurons 11; Oligodendrocyte progenitor cells 12; T cells 18
TPTE2,0 out of 24,0.00%,
TPTEP2-CSNK1E,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 10
TRA2A,0 out of 24,0.00%,
TRA2B,1 out of 24,4.17%,Oligodendrocyte progenitor cells 7
TRABD,0 out of 24,0.00%,
TRABD2A,0 out of 24,0.00%,
TRABD2B,0 out of 24,0.00%,
TRAC,0 out of 24,0.00%,
TRADD,0 out of 24,0.00%,
TRAF1,0 out of 24,0.00%,
TRAF2,1 out of 24,4.17%,Astrocytes microglia 23
TRAF3,0 out of 24,0.00%,
TRAF3IP1,0 out of 24,0.00%,
TRAF3IP2,0 out of 24,0.00%,
TRAF3IP2-AS1,1 out of 24,4.17%,Oligodendrocytes 10
TRAF3IP3,1 out of 24,4.17%,Microglia 19
TRAF4,0 out of 24,0.00%,
TRAF5,0 out of 24,0.00%,
TRAF6,3 out of 24,12.50%,Astrocytes microglia 23; Oligodendrocytes 20; Connective tissue cells 21
TRAFD1,0 out of 24,0.00%,
TRAK1,0 out of 24,0.00%,
TRAK2,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Oligodendrocyte progenitor cells 12
TRAM1,0 out of 24,0.00%,
TRAM2,1 out of 24,4.17%,Connective tissue cells 21
TRANK1,0 out of 24,0.00%,
TRAP1,0 out of 24,0.00%,
TRAPPC1,0 out of 24,0.00%,
TRAPPC10,0 out of 24,0.00%,
TRAPPC11,0 out of 24,0.00%,
TRAPPC12,0 out of 24,0.00%,
TRAPPC13,0 out of 24,0.00%,
TRAPPC2,0 out of 24,0.00%,
TRAPPC2L,0 out of 24,0.00%,
TRAPPC3,0 out of 24,0.00%,
TRAPPC4,0 out of 24,0.00%,
TRAPPC6B,0 out of 24,0.00%,
TRAPPC8,0 out of 24,0.00%,
TRAPPC9,0 out of 24,0.00%,
TRAT1,0 out of 24,0.00%,
TRBC1,0 out of 24,0.00%,
TRBC2,0 out of 24,0.00%,
TRDMT1,0 out of 24,0.00%,
TRDN,0 out of 24,0.00%,
TREM2,0 out of 24,0.00%,
TRERF1,2 out of 24,8.33%,GLU like neurons 17; GABA like neurons 14
TRG-AS1,0 out of 24,0.00%,
TRGC1,0 out of 24,0.00%,
TRGC2,0 out of 24,0.00%,
TRHDE,0 out of 24,0.00%,
TRIB1,0 out of 24,0.00%,
TRIB2,0 out of 24,0.00%,
TRIB3,0 out of 24,0.00%,
TRIL,1 out of 24,4.17%,Astrocytes 4
TRIM13,1 out of 24,4.17%,Oligodendrocytes 20
TRIM14,1 out of 24,4.17%,Microglia 19
TRIM16,0 out of 24,0.00%,
TRIM16L,0 out of 24,0.00%,
TRIM2,5 out of 24,20.83%,Oligodendrocytes 2; T cells 18; Microglia 19; Endothelial cells 9; GABA neurons expressing GABA receptors 13
TRIM22,0 out of 24,0.00%,
TRIM23,1 out of 24,4.17%,Connective tissue cells 21
TRIM24,2 out of 24,8.33%,Oligodendrocytes 10; Oligodendrocyte progenitor cells 7
TRIM25,0 out of 24,0.00%,
TRIM26,4 out of 24,16.67%,Astrocytes 8; Astrocytes 4; Astrocytes 5; Oligodendrocyte progenitor cells 7
TRIM27,0 out of 24,0.00%,
TRIM28,0 out of 24,0.00%,
TRIM3,0 out of 24,0.00%,
TRIM33,1 out of 24,4.17%,T cells 18
TRIM35,1 out of 24,4.17%,Connective tissue cells 21
TRIM36,0 out of 24,0.00%,
TRIM37,1 out of 24,4.17%,Connective tissue cells 21
TRIM38,0 out of 24,0.00%,
TRIM4,0 out of 24,0.00%,
TRIM41,1 out of 24,4.17%,Astrocytes microglia 23
TRIM44,0 out of 24,0.00%,
TRIM47,0 out of 24,0.00%,
TRIM5,0 out of 24,0.00%,
TRIM52,0 out of 24,0.00%,
TRIM56,0 out of 24,0.00%,
TRIM59,1 out of 24,4.17%,Oligodendrocytes 20
TRIM62,0 out of 24,0.00%,
TRIM65,0 out of 24,0.00%,
TRIM66,0 out of 24,0.00%,
TRIM67,0 out of 24,0.00%,
TRIM69,0 out of 24,0.00%,
TRIM73,0 out of 24,0.00%,
TRIM8,0 out of 24,0.00%,
TRIM9,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 0
TRIO,4 out of 24,16.67%,Endothelial cells 9; Astrocytes 4; Oligodendrocyte progenitor cells 12; Oligodendrocytes 10
TRIOBP,0 out of 24,0.00%,
TRIP10,0 out of 24,0.00%,
TRIP11,0 out of 24,0.00%,
TRIP12,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TRIP4,0 out of 24,0.00%,
TRIP6,0 out of 24,0.00%,
TRIQK,1 out of 24,4.17%,Astrocytes microglia 23
TRIR,0 out of 24,0.00%,
TRIT1,1 out of 24,4.17%,Astrocytes microglia 23
TRMT1,1 out of 24,4.17%,Astrocytes microglia 23
TRMT10B,0 out of 24,0.00%,
TRMT10C,0 out of 24,0.00%,
TRMT11,1 out of 24,4.17%,Oligodendrocytes 16
TRMT112,1 out of 24,4.17%,Endothelial cells 9
TRMT13,0 out of 24,0.00%,
TRMT1L,0 out of 24,0.00%,
TRMT2B,0 out of 24,0.00%,
TRMT44,0 out of 24,0.00%,
TRMT6,0 out of 24,0.00%,
TRMT61B,0 out of 24,0.00%,
TRMT9B,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TRMU,0 out of 24,0.00%,
TRNAU1AP,0 out of 24,0.00%,
TRNP1,0 out of 24,0.00%,
TRNT1,0 out of 24,0.00%,
TRO,0 out of 24,0.00%,
TROVE2,0 out of 24,0.00%,
TRPC1,2 out of 24,8.33%,Astrocytes 5; Oligodendrocytes 2
TRPC3,1 out of 24,4.17%,Endothelial cells 9
TRPC4,0 out of 24,0.00%,
TRPC4AP,0 out of 24,0.00%,
TRPC5,1 out of 24,4.17%,Oligodendrocytes 16
TRPC6,0 out of 24,0.00%,
TRPC7,0 out of 24,0.00%,
TRPM2,1 out of 24,4.17%,GABA like neurons 14
TRPM3,4 out of 24,16.67%,Astrocytes 8; Astrocytes 5; Connective tissue cells 21; Astrocytes microglia 23
TRPM4,0 out of 24,0.00%,
TRPM6,1 out of 24,4.17%,Oligodendrocytes 3
TRPM7,2 out of 24,8.33%,Oligodendrocytes 10; Oligodendrocytes 0
TRPS1,3 out of 24,12.50%,Endothelial cells 9; Oligodendrocytes 3; Microglia 19
TRPV1,0 out of 24,0.00%,
TRPV2,0 out of 24,0.00%,
TRRAP,0 out of 24,0.00%,
TRUB1,0 out of 24,0.00%,
TRUB2,0 out of 24,0.00%,
TSC1,0 out of 24,0.00%,
TSC2,0 out of 24,0.00%,
TSC22D1,0 out of 24,0.00%,
TSC22D2,2 out of 24,8.33%,Endothelial cells 9; Astrocytes 4
TSC22D3,1 out of 24,4.17%,Microglia 1
TSC22D4,2 out of 24,8.33%,Oligodendrocytes 2; Oligodendrocyte progenitor cells 12
TSEN15,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 3
TSEN2,0 out of 24,0.00%,
TSEN54,0 out of 24,0.00%,
TSFM,0 out of 24,0.00%,
TSG101,1 out of 24,4.17%,GABA like neurons 14
TSGA10,0 out of 24,0.00%,
TSHR,0 out of 24,0.00%,
TSHZ1,1 out of 24,4.17%,T cells 18
TSHZ2,3 out of 24,12.50%,Endothelial cells 9; GLU like neurons 17; Oligodendrocyte progenitor cells 12
TSHZ3,0 out of 24,0.00%,
TSKU,0 out of 24,0.00%,
TSN,0 out of 24,0.00%,
TSNARE1,2 out of 24,8.33%,Connective tissue cells 21; Astrocytes 15
TSPAN10,0 out of 24,0.00%,
TSPAN11,0 out of 24,0.00%,
TSPAN12,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
TSPAN13,0 out of 24,0.00%,
TSPAN14,0 out of 24,0.00%,
TSPAN15,0 out of 24,0.00%,
TSPAN18,0 out of 24,0.00%,
TSPAN2,0 out of 24,0.00%,
TSPAN3,0 out of 24,0.00%,
TSPAN31,0 out of 24,0.00%,
TSPAN32,0 out of 24,0.00%,
TSPAN33,0 out of 24,0.00%,
TSPAN4,0 out of 24,0.00%,
TSPAN5,0 out of 24,0.00%,
TSPAN6,0 out of 24,0.00%,
TSPAN7,3 out of 24,12.50%,GABA neurons expressing GLU receptors 22; Oligodendrocyte progenitor cells 7; GABA like neurons 14
TSPAN9,0 out of 24,0.00%,
TSPO,0 out of 24,0.00%,
TSPOAP1,1 out of 24,4.17%,GABA like neurons 14
TSPOAP1-AS1,0 out of 24,0.00%,
TSPYL1,4 out of 24,16.67%,GLU like neurons 17; DA like neurons 11; Oligodendrocytes 10; GABA like neurons 14
TSPYL2,3 out of 24,12.50%,GABA neurons expressing GABA receptors 13; Astrocytes 4; Oligodendrocyte progenitor cells 7
TSPYL4,0 out of 24,0.00%,
TSPYL5,0 out of 24,0.00%,
TSR1,0 out of 24,0.00%,
TSR2,0 out of 24,0.00%,
TSR3,0 out of 24,0.00%,
TSSC4,0 out of 24,0.00%,
TSTD2,1 out of 24,4.17%,Oligodendrocytes 20
TTBK1,0 out of 24,0.00%,
TTBK2,2 out of 24,8.33%,GABA neurons expressing GABA receptors 13; DA neurons 6
TTC1,0 out of 24,0.00%,
TTC12,0 out of 24,0.00%,
TTC13,0 out of 24,0.00%,
TTC14,2 out of 24,8.33%,Oligodendrocytes 3; GABA like neurons 14
TTC17,3 out of 24,12.50%,Endothelial cells 9; Oligodendrocytes 10; GABA like neurons 14
TTC19,0 out of 24,0.00%,
TTC21A,0 out of 24,0.00%,
TTC21B,0 out of 24,0.00%,
TTC23,1 out of 24,4.17%,Connective tissue cells 21
TTC23L,0 out of 24,0.00%,
TTC25,0 out of 24,0.00%,
TTC26,0 out of 24,0.00%,
TTC27,1 out of 24,4.17%,Oligodendrocytes 20
TTC28,3 out of 24,12.50%,Endothelial cells 9; Oligodendrocytes 10; GABA like neurons 14
TTC3,0 out of 24,0.00%,
TTC31,0 out of 24,0.00%,
TTC33,0 out of 24,0.00%,
TTC37,0 out of 24,0.00%,
TTC38,1 out of 24,4.17%,Connective tissue cells 21
TTC39A,0 out of 24,0.00%,
TTC39B,0 out of 24,0.00%,
TTC39C,0 out of 24,0.00%,
TTC5,0 out of 24,0.00%,
TTC6,0 out of 24,0.00%,
TTC7A,2 out of 24,8.33%,Oligodendrocytes 10; Microglia 19
TTC7B,0 out of 24,0.00%,
TTC8,0 out of 24,0.00%,
TTC9,0 out of 24,0.00%,
TTC9B,0 out of 24,0.00%,
TTC9C,0 out of 24,0.00%,
TTF1,1 out of 24,4.17%,Oligodendrocytes 16
TTF2,0 out of 24,0.00%,
TTI1,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 16; Connective tissue cells 21
TTI2,1 out of 24,4.17%,Astrocytes microglia 23
TTL,0 out of 24,0.00%,
TTLL1,0 out of 24,0.00%,
TTLL11,1 out of 24,4.17%,Connective tissue cells 21
TTLL12,0 out of 24,0.00%,
TTLL4,0 out of 24,0.00%,
TTLL5,1 out of 24,4.17%,Oligodendrocytes 20
TTLL7,7 out of 24,29.17%,Oligodendrocyte progenitor cells 12; Astrocytes 8; Oligodendrocytes 10; Connective tissue cells 21; Astrocytes 15; T cells 18; Endothelial cells 9
TTLL9,0 out of 24,0.00%,
TTN,2 out of 24,8.33%,Astrocytes microglia 23; GLU like neurons 17
TTN-AS1,3 out of 24,12.50%,Oligodendrocytes 20; Astrocytes 5; GABA like neurons 14
TTPA,0 out of 24,0.00%,
TTPAL,0 out of 24,0.00%,
TTTY10,0 out of 24,0.00%,
TTTY14,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 16; GABA like neurons 14
TTTY15,0 out of 24,0.00%,
TTYH1,1 out of 24,4.17%,Oligodendrocytes 20
TTYH2,2 out of 24,8.33%,Oligodendrocytes 10; Oligodendrocyte progenitor cells 12
TTYH3,1 out of 24,4.17%,Microglia 1
TUB,0 out of 24,0.00%,
TUBA1A,14 out of 24,58.33%,Oligodendrocyte progenitor cells 12; Astrocytes 8; Oligodendrocytes 10; Astrocytes 5; Connective tissue cells 21; Oligodendrocyte progenitor cells 7; DA like neurons 11; Astrocytes 4; Oligodendrocytes 3; GABA like neurons 14; T cells 18; Endothelial cells 9; DA neurons 6; Microglia 1
TUBA1B,15 out of 24,62.50%,Astrocytes microglia 23; Oligodendrocyte progenitor cells 12; Astrocytes 8; GABA neurons expressing GLU receptors 22; Oligodendrocytes 10; Astrocytes 5; Connective tissue cells 21; Oligodendrocyte progenitor cells 7; DA like neurons 11; Astrocytes 4; Oligodendrocytes 16; Oligodendrocytes 3; GABA like neurons 14; T cells 18; Microglia 19
TUBA1C,0 out of 24,0.00%,
TUBA4A,3 out of 24,12.50%,GABA neurons expressing GLU receptors 22; DA like neurons 11; GABA like neurons 14
TUBB,8 out of 24,33.33%,Astrocytes 8; GABA neurons expressing GLU receptors 22; Oligodendrocytes 10; Astrocytes 5; DA like neurons 11; Oligodendrocytes 16; Oligodendrocytes 3; GABA like neurons 14
TUBB2A,20 out of 24,83.33%,Connective tissue cells 21; Oligodendrocyte progenitor cells 7; Oligodendrocytes 3; Astrocytes 15; Endothelial cells 9; GABA neurons expressing GABA receptors 13; Microglia 1; Astrocytes microglia 23; Astrocytes 5; GABA like neurons 14; Microglia 19; GLU like neurons 17; Oligodendrocytes 16; Oligodendrocytes 0; Astrocytes 8; GABA neurons expressing GLU receptors 22; Oligodendrocytes 10; DA like neurons 11; Astrocytes 4; DA neurons 6
TUBB2B,7 out of 24,29.17%,Astrocytes 8; Oligodendrocytes 10; Oligodendrocyte progenitor cells 7; DA like neurons 11; Astrocytes 4; Oligodendrocytes 2; GABA like neurons 14
TUBB4A,3 out of 24,12.50%,Endothelial cells 9; DA like neurons 11; Oligodendrocyte progenitor cells 12
